license_plate,state_code,state_name,make,model,owner_name,phone,synthetic_id
AP13FI2538,AP,Andhra Pradesh,Hyundai,Creta,Vihaan Singh,SIM+91-8373578878,SIM-719F69369A6F
AP26PQ5102,AP,Andhra Pradesh,Skoda,Octavia,Vivaan Verma,SIM+91-8077812370,SIM-DB32220DCABE
AP16YN8857,AP,Andhra Pradesh,Toyota,Yaris,Sneha Gupta,SIM+91-8044007169,SIM-34A3AEF3569C
AP63QK9914,AP,Andhra Pradesh,Tata,Tiago,Aditya Singh,SIM+91-7727662236,SIM-2D9CEC8B0E57
AP04OW3759,AP,Andhra Pradesh,MG,Hector,Aditya Reddy,SIM+91-9620875401,SIM-EBB46877ACDA
AP99ZR9411,AP,Andhra Pradesh,Skoda,Octavia,Arjun Sharma,SIM+91-7621471790,SIM-9E619D3D561D
AP98ZE2794,AP,Andhra Pradesh,Tata,Harrier,Shruti Patel,SIM+91-6556522545,SIM-5E71D1188B6F
AP77GB3999,AP,Andhra Pradesh,MG,Hector,Neha Chowdhury,SIM+91-9299609318,SIM-D478E4CD8579
AP19GP1824,AP,Andhra Pradesh,Kia,Sonet,Kavya Das,SIM+91-6043725704,SIM-937F8D148B07
AP01ZZ4893,AP,Andhra Pradesh,Toyota,Corolla,Saanvi Gupta,SIM+91-8708940295,SIM-85965933FB35
AP65FL8968,AP,Andhra Pradesh,Maruti,Swift,Karan Chowdhury,SIM+91-8754568062,SIM-86179FB7A77A
AP06XY4169,AP,Andhra Pradesh,Skoda,Octavia,Ananya Reddy,SIM+91-7389479061,SIM-1EEAF9399F40
AP04BU3209,AP,Andhra Pradesh,Ford,EcoSport,Karan Das,SIM+91-9031298043,SIM-734CFA68AD6A
AP59AE4256,AP,Andhra Pradesh,MG,Astor,Anjali Singh,SIM+91-7705335289,SIM-746222A6C080
AP13NZ6949,AP,Andhra Pradesh,Mahindra,Thar,Rahul Chowdhury,SIM+91-9035122384,SIM-D23773A2623F
AP74KH3888,AP,Andhra Pradesh,Hyundai,Verna,Karan Patel,SIM+91-8506779954,SIM-4D44F900E058
AP69UO7618,AP,Andhra Pradesh,Honda,City,Ishaan Verma,SIM+91-8511682916,SIM-8155D70E9C3A
AP76TB1061,AP,Andhra Pradesh,Honda,Amaze,Vivaan Das,SIM+91-6317487094,SIM-B0EF5930842C
AP18ZS6158,AP,Andhra Pradesh,Honda,Amaze,Rahul Patel,SIM+91-7116789665,SIM-7B67BE9569FA
AP04EB3492,AP,Andhra Pradesh,Mahindra,Scorpio,Vihaan Gupta,SIM+91-9300567034,SIM-D69CAA5B96A7
AP26TA5745,AP,Andhra Pradesh,Ford,EcoSport,Vivaan Rao,SIM+91-7102626679,SIM-3DB58D874A67
AP86AT9566,AP,Andhra Pradesh,Kia,Carnival,Saanvi Sharma,SIM+91-8892317283,SIM-826CD35DA8BA
AP99XF9968,AP,Andhra Pradesh,Honda,WR-V,Aarav Nair,SIM+91-7406895137,SIM-89C05DC4D6DC
AP94IW1267,AP,Andhra Pradesh,Hyundai,Creta,Anjali Verma,SIM+91-8411535777,SIM-708AD6EC48D3
AP10LL6394,AP,Andhra Pradesh,Ford,Endeavour,Aarav Patel,SIM+91-9291869441,SIM-BDD02C37A7B5
AP29WS8465,AP,Andhra Pradesh,Toyota,Innova,Shruti Rao,SIM+91-6894587787,SIM-08F416A497DB
AP61FG1266,AP,Andhra Pradesh,Skoda,Octavia,Sai Singh,SIM+91-6700103458,SIM-3C423A2951B8
AP22NJ4117,AP,Andhra Pradesh,Toyota,Corolla,Sneha Verma,SIM+91-6473613390,SIM-6026E95A975D
AP45NY3352,AP,Andhra Pradesh,Hyundai,Venue,Aditya Singh,SIM+91-8365396097,SIM-133A8DD272D8
AP81QC8176,AP,Andhra Pradesh,Tata,Tiago,Vivaan Nair,SIM+91-7478076092,SIM-E08AB4FAA271
AP96CB9807,AP,Andhra Pradesh,Mahindra,Thar,Shruti Das,SIM+91-9150392352,SIM-1F467F72E41C
AP65PG3732,AP,Andhra Pradesh,Skoda,Rapid,Karan Chowdhury,SIM+91-7044051742,SIM-0E74BF4AC27C
AP51DX8670,AP,Andhra Pradesh,Mahindra,Scorpio,Divya Gupta,SIM+91-9565137628,SIM-C5849983B43B
AP36IS8118,AP,Andhra Pradesh,Tata,Nexon,Priya Verma,SIM+91-7271750204,SIM-28C0A543284F
